index,balance
429,3191.0569989427945
430,3174.2656291448616
431,3265.07373448495
432,3322.0251845422026
433,3330.330247503557
434,3330.719759813206
435,3474.3570494551495
436,3494.3671531719347
437,3494.804495744296
438,3459.856450786853
439,3425.2578862789846
440,3615.6384990278407
441,3682.5662754992063
442,3706.250345677081
443,3743.3128491338516
444,3705.879720642513
445,3668.820923436088
446,3669.230390057007
447,3632.5380861564367
448,3596.212705294872
449,3575.941493702605
450,3647.150270845987
451,3650.4978966984554
452,3687.00287566544
453,3669.952651099571
454,3636.1094556613643
455,3599.7483611047505
456,3600.3055976931564
457,3564.302541716225
458,3564.6692395085825
459,3684.5653836743745
460,3685.2006535681103
461,3685.690056045343
462,3759.40385716625
463,3763.5288051986445
464,3763.8313396685153
465,3849.354331270417
466,3810.8607879577125
467,3772.7521800781356
468,3773.046237145951
469,3758.2890127510836
470,3749.28742742961
471,3768.8990847423174
472,3760.073838951599
473,3758.3606158595103
474,3720.777009700915
475,3721.045851970402
476,3729.2259288731807
477,3720.792515988278
478,3774.2845942132385
479,3774.663158365115
480,3766.1208419699647
481,3794.526691129105
482,3832.471958040396
483,3794.1472384599924
484,3756.2057660753926
485,3753.6713019771764
486,3726.2087803193285
487,3688.946692516135
488,3672.55137388273
489,3787.086490816812
490,3824.95735572498
491,3786.7077821677303
492,3748.840704346053
493,3711.3522973025924
494,3707.12877074387
495,3707.45625561761
496,3670.381693061434
497,3633.6778761308196
498,3622.089782238232
499,3643.050458201918
500,3606.6199536198988
501,4008.515631474203
502,3968.430475159461
503,4047.7990846626503
504,4061.2576328202517
505,4043.9300846015108
506,4044.0562602671766
507,4003.6156976645048
508,3963.5795406878597
509,3923.943745280981
510,3923.7693477811913
511,3884.531654303379
512,3923.376970846413
513,3908.754483833428
514,3985.7534555647967
515,3960.120307194606
516,4006.949493346517
517,3966.879998413052
518,3967.271595648828
519,3963.9754166183734
520,4014.6583626386373
521,3996.8892660949778
522,4047.3690094210797
523,4006.895319326869
524,4087.0332257134064
525,4079.046481618158
